date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,2,0,0,2
2020-04-01,2,0,0,2
2020-04-02,3,0,0,3
2020-04-03,3,0,0,3
2020-04-04,3,0,0,3
2020-04-05,3,0,0,3
2020-04-06,3,0,0,3
2020-04-07,3,0,0,3
2020-04-08,3,0,0,3
2020-04-09,3,0,0,3
2020-04-10,3,0,0,3
2020-04-11,5,0,0,5
2020-04-12,5,0,0,5
2020-04-13,5,0,1,4
2020-04-14,5,0,1,4
2020-04-15,5,0,1,4
2020-04-16,5,0,1,4
2020-04-17,5,0,1,4
2020-04-18,5,0,1,4
2020-04-19,5,0,1,4
2020-04-20,5,4,1,0
2020-04-21,5,4,1,0
2020-04-22,11,4,1,6
2020-04-23,11,4,1,6
2020-04-24,11,4,1,6
2020-04-25,11,4,1,6
2020-04-26,11,4,1,6
2020-04-27,11,4,1,6
2020-04-28,11,4,1,6
2020-04-29,11,4,1,6
2020-04-30,11,4,1,6
2020-05-01,11,4,1,6
2020-05-02,15,7,1,7
2020-05-03,15,7,1,7
2020-05-04,15,7,1,7
2020-05-05,15,7,1,7
2020-05-06,15,7,1,7
2020-05-07,15,7,1,7
2020-05-08,15,7,1,7
2020-05-09,15,7,1,7
2020-05-10,15,7,1,7
2020-05-11,15,7,1,7
2020-05-12,15,7,1,7
2020-05-13,15,7,1,7
2020-05-14,15,7,1,7
2020-05-15,15,7,1,7
2020-05-16,15,7,1,7
2020-05-17,23,15,1,7
2020-05-18,42,20,1,21
2020-05-19,42,20,1,21
2020-05-20,42,20,1,21
2020-05-21,42,20,1,21
2020-05-22,42,20,1,21
2020-05-23,42,20,1,21
2020-05-24,42,20,1,21
2020-05-25,42,20,1,21
2020-05-26,42,20,1,21
2020-05-27,42,20,1,21
2020-05-28,42,20,1,21
2020-05-29,42,20,1,21
2020-05-30,63,33,1,29
2020-05-31,63,33,1,29
2020-06-01,63,33,1,29
2020-06-02,63,33,1,29
2020-06-03,63,33,1,29
2020-06-04,63,33,1,29
2020-06-05,63,33,1,29
2020-06-06,83,45,1,37
2020-06-07,83,45,1,37
2020-06-08,83,45,1,37
2020-06-09,83,45,1,37
2020-06-10,83,45,1,37
2020-06-11,85,45,1,39
2020-06-12,85,45,1,39
2020-06-13,85,45,1,39
2020-06-14,85,45,1,39
2020-06-15,85,45,1,39
2020-06-16,104,75,1,28
2020-06-17,104,75,1,28
2020-06-18,104,75,1,28
