date,confirmed,recovered,deaths,active
2020-04-04,7,0,0,7
2020-04-05,0,0,0,0
2020-04-06,2,0,0,2
2020-04-07,0,0,0,0
2020-04-08,2,0,0,2
2020-04-09,0,0,0,0
2020-04-10,1,0,0,1
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,0,0,0,0
2020-04-15,1,0,0,1
2020-04-16,0,0,0,0
2020-04-17,0,0,0,0
2020-04-18,4,3,0,1
2020-04-19,0,0,0,0
2020-04-20,0,0,0,0
2020-04-21,0,3,0,-3
2020-04-22,0,0,0,0
2020-04-23,0,0,0,0
2020-04-24,0,5,0,-5
2020-04-25,0,2,0,-2
2020-04-26,0,0,0,0
2020-04-27,0,0,0,0
2020-04-28,0,6,0,-6
2020-04-29,0,0,0,0
2020-04-30,0,7,0,-7
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,0,0,0,0
2020-05-04,0,0,0,0
2020-05-05,0,4,0,-4
2020-05-06,0,0,0,0
2020-05-07,0,0,0,0
2020-05-08,0,7,0,-7
2020-05-09,0,0,0,0
2020-05-10,0,0,0,0
2020-05-11,0,1,0,-1
2020-05-12,0,0,0,0
2020-05-13,0,0,0,0
2020-05-14,0,0,0,0
2020-05-15,0,1,0,-1
2020-05-16,0,0,0,0
2020-05-17,0,0,0,0
2020-05-18,0,0,0,0
2020-05-19,0,0,0,0
2020-05-20,0,0,0,0
2020-05-21,0,0,0,0
2020-05-22,0,0,0,0
2020-05-23,0,0,0,0
2020-05-24,0,0,0,0
2020-05-25,0,0,0,0
2020-05-26,0,0,0,0
2020-05-27,0,0,0,0
2020-05-28,0,0,0,0
2020-05-29,0,0,0,0
2020-05-30,0,0,0,0
2020-05-31,0,0,0,0
2020-06-01,0,0,0,0
2020-06-02,0,0,0,0
2020-06-03,0,0,0,0
2020-06-04,0,0,0,0
2020-06-05,0,0,0,0
2020-06-06,0,0,0,0
2020-06-07,0,0,0,0
2020-06-08,0,0,0,0
2020-06-09,0,0,0,0
2020-06-10,2,0,0,2
2020-06-11,0,0,0,0
2020-06-12,0,0,0,0
2020-06-13,24,0,0,24
2020-06-14,31,0,0,31
2020-06-15,13,0,0,13
2020-06-16,12,0,0,12
2020-06-17,10,0,0,10
2020-06-18,11,0,0,11
2020-06-19,0,0,0,0
2020-06-20,1,0,0,1
2020-06-21,0,0,0,0
2020-06-22,0,0,0,0
2020-06-23,0,0,0,0
2020-06-24,1,0,0,1
2020-06-25,0,0,0,0
2020-06-26,23,14,0,9
2020-06-27,24,0,0,24
2020-06-28,0,0,0,0
2020-06-29,0,0,0,0
2020-06-30,12,0,0,12
2020-07-01,0,3,0,-3
2020-07-02,12,0,0,12
2020-07-03,0,0,0,0
2020-07-04,0,0,0,0
2020-07-05,0,0,0,0
2020-07-06,0,0,0,0
2020-07-07,0,0,0,0
2020-07-08,0,0,0,0
2020-07-09,17,51,0,-34
2020-07-10,0,0,0,0
2020-07-11,0,0,0,0
2020-07-12,0,0,0,0
2020-07-13,0,0,0,0
2020-07-14,0,0,0,0
2020-07-15,0,0,0,0
2020-07-16,19,42,0,-23
2020-07-17,0,6,0,-6
2020-07-18,0,0,0,0
2020-07-19,0,0,0,0
2020-07-20,0,0,0,0
2020-07-21,0,0,0,0
2020-07-22,0,0,0,0
2020-07-23,10,34,0,-24
2020-07-24,0,0,0,0
2020-07-25,2,0,0,2
2020-07-26,0,0,0,0
2020-07-27,2,2,0,0
2020-07-28,0,0,0,0
2020-07-29,0,0,0,0
2020-07-30,14,34,0,-20
2020-07-31,0,0,0,0
2020-08-01,0,0,0,0
2020-08-02,0,0,0,0
2020-08-03,3,0,0,3
2020-08-04,0,0,0,0
2020-08-05,0,0,0,0
2020-08-06,0,0,0,0
2020-08-07,3,20,0,-17
2020-08-08,0,0,0,0
2020-08-09,0,0,0,0
2020-08-10,0,3,0,-3
2020-08-11,0,0,0,0
2020-08-12,0,0,0,0
2020-08-13,0,0,0,0
2020-08-14,0,0,0,0
2020-08-15,0,0,0,0
2020-08-16,0,0,0,0
2020-08-17,0,0,0,0
2020-08-18,19,13,0,6
2020-08-19,0,0,0,0
2020-08-20,2,13,0,-11
2020-08-21,0,0,0,0
2020-08-22,0,0,0,0
2020-08-23,0,0,0,0
2020-08-24,0,0,0,0
2020-08-25,9,2,0,7
2020-08-26,0,0,0,0
2020-08-27,2,8,0,-6
2020-08-28,0,0,0,0
2020-08-29,1,0,0,1
2020-08-30,0,0,0,0
2020-08-31,1,0,0,1
2020-09-01,0,0,0,0
2020-09-02,0,0,0,0
2020-09-03,11,11,0,0
2020-09-04,0,0,0,0
2020-09-05,0,0,0,0
2020-09-06,0,0,0,0
2020-09-07,0,0,0,0
2020-09-08,11,0,0,11
2020-09-09,0,0,0,0
2020-09-10,20,9,0,11
2020-09-11,0,0,0,0
2020-09-12,0,0,0,0
2020-09-13,0,0,0,0
2020-09-14,0,0,0,0
2020-09-15,3,0,0,3
2020-09-16,0,1,0,-1
2020-09-17,0,0,0,0
2020-09-18,0,0,0,0
2020-09-19,0,0,0,0
2020-09-20,0,0,0,0
2020-09-21,0,0,0,0
2020-09-22,0,4,0,-4
2020-09-23,0,0,0,0
2020-09-24,5,21,0,-16
2020-09-25,0,0,0,0
2020-09-26,6,11,0,-5
2020-09-27,0,0,0,0
2020-09-28,0,0,0,0
2020-09-29,0,0,0,0
2020-09-30,0,0,0,0
2020-10-01,6,12,0,-6
2020-10-02,0,0,0,0
2020-10-03,17,5,0,12
2020-10-04,0,0,0,0
2020-10-05,0,0,0,0
2020-10-06,0,0,0,0
2020-10-07,0,0,0,0
2020-10-08,7,6,0,1
2020-10-09,0,0,0,0
2020-10-10,9,8,0,1
2020-10-11,0,0,0,0
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,8,4,0,4
2020-10-16,0,0,0,0
2020-10-17,30,12,0,18
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,5,3,0,2
2020-10-23,4,14,0,-10
2020-10-24,0,0,0,0
2020-10-25,0,0,0,0
2020-10-26,0,0,0,0
2020-10-27,0,0,0,0
2020-10-28,0,0,0,0
2020-10-29,0,0,0,0
2020-10-30,2,7,0,-5
2020-10-31,0,0,0,0
2020-11-01,0,0,0,0
2020-11-02,17,14,0,3
2020-11-03,0,0,0,0
2020-11-04,0,0,0,0
2020-11-05,4,3,0,1
2020-11-06,0,0,0,0
2020-11-07,7,9,0,-2
2020-11-08,0,0,0,0
2020-11-09,0,0,0,0
2020-11-10,0,0,0,0
2020-11-11,0,0,0,0
2020-11-12,2,6,0,-4
2020-11-13,0,0,0,0
2020-11-14,0,0,0,0
2020-11-15,0,0,0,0
2020-11-16,25,7,0,18
2020-11-17,0,0,0,0
2020-11-18,0,0,0,0
2020-11-19,9,5,0,4
2020-11-20,0,0,0,0
2020-11-21,24,17,0,7
2020-11-22,0,0,0,0
2020-11-23,7,0,0,7
2020-11-24,0,0,0,0
2020-11-25,0,0,0,0
2020-11-26,8,4,0,4
2020-11-27,0,0,0,0
2020-11-28,11,21,0,-10
2020-11-29,0,0,0,0
2020-11-30,0,0,0,0
2020-12-01,0,0,0,0
2020-12-02,0,0,0,0
2020-12-03,17,0,0,17
2020-12-04,38,10,0,28
2020-12-05,0,0,0,0
2020-12-06,0,0,0,0
2020-12-07,17,9,0,8
2020-12-08,0,0,0,0
2020-12-09,0,0,0,0
2020-12-10,7,8,0,-1
2020-12-11,0,0,0,0
2020-12-12,55,39,0,16
2020-12-13,0,0,0,0
2020-12-14,0,0,0,0
2020-12-15,0,0,0,0
2020-12-16,0,0,0,0
2020-12-17,30,8,0,22
2020-12-18,0,0,0,0
2020-12-19,13,8,0,5
2020-12-20,0,0,0,0
2020-12-21,53,17,0,36
2020-12-22,25,2,1,22
2020-12-23,45,0,0,45
2020-12-24,74,1,0,73
2020-12-25,41,0,0,41
2020-12-26,0,0,0,0
2020-12-27,47,23,0,24
2020-12-28,0,0,0,0
2020-12-29,181,20,0,161
2020-12-30,32,0,0,32
2020-12-31,68,0,2,66
2021-01-01,0,0,0,0
2021-01-02,0,0,0,0
2021-01-03,0,0,0,0
2021-01-04,43,0,0,43
2021-01-05,0,0,0,0
2021-01-06,82,0,0,82
2021-01-07,0,97,0,-97
2021-01-08,111,0,3,108
2021-01-09,0,0,0,0
2021-01-10,0,0,0,0
2021-01-11,0,63,0,-63
2021-01-12,40,131,0,-91
2021-01-13,0,0,0,0
2021-01-14,209,80,0,129
2021-01-15,72,59,0,13
2021-01-16,0,0,0,0
2021-01-17,0,0,0,0
2021-01-18,0,0,0,0
2021-01-19,0,0,0,0
2021-01-20,33,161,0,-128
2021-01-21,3,70,0,-67
2021-01-22,27,0,0,27
2021-01-23,0,0,0,0
2021-01-24,0,0,0,0
2021-01-25,10,74,1,-65
2021-01-26,20,152,0,-132
2021-01-27,115,19,0,96
2021-01-28,0,0,0,0
2021-01-29,50,45,0,5
2021-01-30,0,0,0,0
2021-01-31,0,0,0,0
2021-02-01,0,0,0,0
2021-02-02,132,63,0,69
2021-02-03,42,26,0,16
2021-02-04,0,0,0,0
2021-02-05,17,36,0,-19
2021-02-06,0,0,0,0
2021-02-07,0,0,0,0
2021-02-08,0,0,0,0
2021-02-09,75,62,0,13
2021-02-10,17,43,0,-26
2021-02-11,11,4,0,7
2021-02-12,0,0,0,0
2021-02-13,0,0,0,0
2021-02-14,0,0,0,0
2021-02-15,137,86,0,51
2021-02-16,0,0,0,0
2021-02-17,61,59,0,2
2021-02-18,48,77,0,-29
2021-02-19,10,0,0,10
2021-02-20,0,0,0,0
2021-02-21,0,0,0,0
2021-02-22,18,18,0,0
2021-02-23,70,91,0,-21
2021-02-24,16,14,0,2
2021-02-25,37,52,0,-15
2021-02-26,21,28,0,-7
2021-02-27,0,0,0,0
2021-02-28,0,0,0,0
2021-03-01,19,8,0,11
2021-03-02,18,83,0,-65
2021-03-03,8,40,0,-32
2021-03-04,21,4,0,17
2021-03-05,9,30,0,-21
2021-03-06,22,18,0,4
2021-03-07,0,0,0,0
2021-03-08,0,0,0,0
2021-03-09,0,0,0,0
2021-03-10,44,102,0,-58
2021-03-11,21,54,0,-33
2021-03-12,29,39,0,-10
2021-03-13,0,0,0,0
2021-03-14,0,0,0,0
2021-03-15,17,70,0,-53
2021-03-16,7,30,0,-23
2021-03-17,16,39,0,-23
2021-03-18,17,63,0,-46
2021-03-19,23,32,0,-9
2021-03-20,0,0,0,0
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,65,97,1,-33
2021-03-25,9,0,1,8
2021-03-26,16,8,0,8
2021-03-27,0,0,0,0
2021-03-28,0,0,0,0
2021-03-29,43,23,0,20
2021-03-30,28,36,0,-8
2021-03-31,6,0,1,5
2021-04-01,23,20,0,3
2021-04-02,26,9,0,17
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,6,6,0,0
2021-04-06,23,17,0,6
2021-04-07,11,57,0,-46
2021-04-08,19,8,0,11
2021-04-09,54,20,0,34
2021-04-10,0,0,0,0
2021-04-11,0,0,0,0
2021-04-12,19,30,0,-11
2021-04-13,3,35,0,-32
2021-04-14,10,42,0,-32
2021-04-15,7,7,0,0
2021-04-16,5,8,0,-3
2021-04-17,0,0,0,0
2021-04-18,0,0,0,0
2021-04-19,46,46,0,0
2021-04-20,11,7,0,4
2021-04-21,16,48,0,-32
2021-04-22,33,17,0,16
2021-04-23,8,4,0,4
2021-04-24,0,0,0,0
2021-04-25,0,0,0,0
2021-04-26,35,45,0,-10
2021-04-27,0,0,0,0
2021-04-28,19,37,0,-18
2021-04-29,12,0,0,12
2021-04-30,0,0,0,0
2021-05-01,0,0,0,0
2021-05-02,0,0,0,0
2021-05-03,2,4,2,-4
2021-05-04,8,7,0,1
2021-05-05,26,35,0,-9
2021-05-06,27,64,0,-37
2021-05-07,8,0,0,8
2021-05-08,0,0,0,0
2021-05-09,0,0,0,0
2021-05-10,12,11,0,1
2021-05-11,64,14,0,50
2021-05-12,4,12,0,-8
2021-05-13,0,0,0,0
2021-05-14,0,0,0,0
2021-05-15,22,15,0,7
2021-05-16,0,0,0,0
2021-05-17,24,22,2,0
2021-05-18,11,24,0,-13
2021-05-19,8,0,0,8
2021-05-20,19,0,0,19
2021-05-21,15,11,0,4
2021-05-22,11,0,0,11
2021-05-23,0,0,0,0
2021-05-24,0,0,0,0
2021-05-25,16,38,0,-22
2021-05-26,40,23,0,17
2021-05-27,22,39,0,-17
2021-05-28,12,1,0,11
2021-05-29,39,0,0,39
2021-05-30,0,0,0,0
2021-05-31,33,41,0,-8
2021-06-01,23,2,0,21
2021-06-02,28,0,0,28
2021-06-03,0,0,0,0
2021-06-04,282,39,0,243
2021-06-05,0,0,0,0
2021-06-06,0,0,0,0
2021-06-07,72,93,0,-21
2021-06-08,98,67,0,31
2021-06-09,93,152,0,-59
2021-06-10,76,46,2,28
2021-06-11,82,26,0,56
2021-06-12,0,0,0,0
2021-06-13,0,0,0,0
2021-06-14,133,142,0,-9
2021-06-15,31,66,1,-36
2021-06-16,96,52,0,44
2021-06-17,86,116,2,-32
2021-06-18,91,89,0,2
2021-06-19,51,39,0,12
2021-06-20,26,36,0,-10
2021-06-21,59,79,0,-20
2021-06-22,87,119,2,-34
2021-06-23,95,62,0,33
2021-06-24,61,69,0,-8
2021-06-25,56,75,0,-19
2021-06-26,60,39,0,21
2021-06-27,0,0,0,0
2021-06-28,104,109,1,-6
2021-06-29,52,65,1,-14
2021-06-30,73,77,0,-4
2021-07-01,19,47,2,-30
2021-07-02,23,75,0,-52
2021-07-03,23,42,0,-19
2021-07-04,14,42,0,-28
2021-07-05,39,90,0,-51
2021-07-06,61,0,0,61
2021-07-07,36,0,2,34
2021-07-08,18,0,1,17
2021-07-09,17,18,1,-2
2021-07-10,18,16,0,2
2021-07-11,7,0,0,7
2021-07-12,0,0,0,0
2021-07-13,43,64,1,-22
2021-07-14,20,42,0,-22
2021-07-15,35,72,0,-37
2021-07-16,20,23,0,-3
2021-07-17,0,0,0,0
2021-07-18,0,0,0,0
2021-07-19,40,76,2,-38
2021-07-20,8,39,0,-31
2021-07-21,23,8,0,15
2021-07-22,7,35,0,-28
2021-07-23,11,48,1,-38
2021-07-24,4,33,0,-29
2021-07-25,0,0,0,0
2021-07-26,11,19,0,-8
2021-07-27,11,47,0,-36
2021-07-28,22,30,1,-9
2021-07-29,5,38,0,-33
2021-07-30,1,3,0,-2
2021-07-31,2,25,1,-24
2021-08-01,0,0,0,0
2021-08-02,12,12,0,0
2021-08-03,5,16,0,-11
2021-08-04,4,3,0,1
2021-08-05,5,-6475,0,6480
2021-08-06,3,0,0,3
2021-08-07,0,0,0,0
2021-08-08,0,0,0,0
2021-08-09,13,0,0,13
2021-08-10,0,0,1,-1
2021-08-11,4,0,0,4
2021-08-12,4,0,0,4
2021-08-13,3,0,0,3
2021-08-14,1,0,1,0
2021-08-15,0,0,0,0
2021-08-16,2,0,0,2
2021-08-17,6,0,0,6
2021-08-18,2,0,0,2
2021-08-19,7,0,0,7
2021-08-20,0,0,0,0
2021-08-21,2,0,0,2
2021-08-22,3,0,0,3
2021-08-23,1,0,0,1
2021-08-24,8,0,0,8
2021-08-25,3,0,0,3
2021-08-26,1,0,0,1
2021-08-27,3,0,0,3
2021-08-28,0,0,0,0
2021-08-29,1,0,0,1
2021-08-30,2,0,1,1
2021-08-31,0,0,0,0
2021-09-01,0,0,0,0
2021-09-02,0,0,0,0
2021-09-03,4,0,0,4
2021-09-04,1,0,0,1
2021-09-05,1,0,0,1
2021-09-06,0,0,0,0
2021-09-07,3,0,2,1
2021-09-08,0,0,0,0
2021-09-09,3,0,0,3
2021-09-10,1,0,0,1
2021-09-11,0,0,0,0
2021-09-12,0,0,0,0
2021-09-13,2,0,0,2
2021-09-14,4,0,0,4
2021-09-15,2,0,0,2
2021-09-16,4,0,0,4
2021-09-17,2,0,0,2
2021-09-18,2,0,0,2
2021-09-19,0,0,0,0
2021-09-20,3,0,0,3
2021-09-21,6,0,1,5
2021-09-22,0,0,0,0
2021-09-23,0,0,0,0
2021-09-24,5,0,1,4
2021-09-25,9,0,0,9
2021-09-26,0,0,0,0
2021-09-27,0,0,0,0
2021-09-28,3,0,0,3
2021-09-29,12,0,0,12
2021-09-30,13,0,0,13
2021-10-01,0,0,0,0
2021-10-02,0,0,0,0
2021-10-03,1,0,0,1
2021-10-04,0,0,0,0
2021-10-05,2,0,0,2
2021-10-06,4,0,0,4
2021-10-07,5,0,0,5
2021-10-08,3,0,0,3
2021-10-09,4,0,0,4
2021-10-10,0,0,0,0
2021-10-11,14,0,1,13
2021-10-12,3,0,0,3
2021-10-13,6,0,0,6
2021-10-14,0,0,1,-1
2021-10-15,3,0,0,3
2021-10-16,6,0,0,6
2021-10-17,1,0,1,0
2021-10-18,2,0,0,2
2021-10-19,2,0,0,2
2021-10-20,2,0,0,2
2021-10-21,8,0,0,8
2021-10-22,0,0,0,0
2021-10-23,1,0,0,1
2021-10-24,3,0,0,3
2021-10-25,3,0,0,3
2021-10-26,3,0,0,3
2021-10-27,2,0,0,2
2021-10-28,6,0,0,6
2021-10-29,10,0,0,10
2021-10-30,15,0,0,15
2021-10-31,3,0,0,3
2021-11-01,5,0,0,5
2021-11-02,21,0,0,21
2021-11-03,21,0,0,21
2021-11-04,29,0,0,29
2021-11-05,0,0,0,0
2021-11-06,33,0,1,32
2021-11-07,5,0,0,5
2021-11-08,11,0,1,10
2021-11-09,20,0,0,20
2021-11-10,24,0,1,23
2021-11-11,10,0,0,10
2021-11-12,26,0,0,26
2021-11-13,12,0,0,12
2021-11-14,4,0,3,1
2021-11-15,8,0,0,8
2021-11-16,13,0,1,12
2021-11-17,15,0,0,15
2021-11-18,21,0,1,20
2021-11-19,21,0,0,21
2021-11-20,23,0,1,22
2021-11-21,19,0,0,19
2021-11-22,13,0,1,12
2021-11-23,35,0,0,35
2021-11-24,27,0,2,25
2021-11-25,19,0,1,18
2021-11-26,16,0,2,14
2021-11-27,20,0,0,20
2021-11-28,13,0,0,13
2021-11-29,23,0,0,23
2021-11-30,17,0,0,17
2021-12-01,35,0,0,35
2021-12-02,19,0,0,19
2021-12-03,30,0,1,29
2021-12-04,16,0,0,16
2021-12-05,0,0,0,0
2021-12-06,26,0,0,26
2021-12-07,29,0,1,28
2021-12-08,20,0,0,20
2021-12-09,50,0,0,50
2021-12-10,33,0,1,32
2021-12-11,13,0,0,13
2021-12-12,17,0,0,17
2021-12-13,10,0,0,10
2021-12-14,19,0,1,18
2021-12-15,11,0,1,10
2021-12-16,27,0,0,27
2021-12-17,18,0,2,16
2021-12-18,22,0,1,21
2021-12-19,10,0,2,8
2021-12-20,16,0,0,16
2021-12-21,28,0,0,28
2021-12-22,10,0,0,10
2021-12-23,12,0,2,10
2021-12-24,24,0,0,24
2021-12-25,20,0,0,20
2021-12-26,13,0,1,12
2021-12-27,16,0,0,16
2021-12-28,29,0,0,29
2021-12-29,17,0,1,16
2021-12-30,34,0,1,33
2021-12-31,29,0,1,28
2022-01-01,15,0,0,15
2022-01-02,23,0,0,23
2022-01-03,14,0,0,14
2022-01-04,65,0,1,64
2022-01-05,33,0,1,32
2022-01-06,50,0,1,49
2022-01-07,51,0,1,50
2022-01-08,41,0,2,39
2022-01-09,32,0,0,32
2022-01-10,84,0,0,84
2022-01-11,140,0,2,138
2022-01-12,94,0,0,94
2022-01-13,102,0,1,101
2022-01-14,90,0,0,90
2022-01-15,31,0,1,30
2022-01-16,34,0,1,33
2022-01-17,92,0,1,91
2022-01-18,83,0,1,82
2022-01-19,30,0,0,30
2022-01-20,45,0,0,45
2022-01-21,32,0,1,31
2022-01-22,58,0,1,57
2022-01-23,47,0,2,45
2022-01-24,35,0,2,33
2022-01-25,58,0,0,58
2022-01-26,18,0,1,17
2022-01-27,28,0,1,27
2022-01-28,53,0,0,53
2022-01-29,19,0,0,19
2022-01-30,17,0,1,16
2022-01-31,11,0,0,11
2022-02-01,0,0,0,0
2022-02-02,44,0,1,43
2022-02-03,21,0,0,21
2022-02-04,18,0,1,17
2022-02-05,12,0,0,12
2022-02-06,6,0,0,6
2022-02-07,7,0,1,6
2022-02-08,7,0,0,7
2022-02-09,1,0,1,0
2022-02-10,8,0,0,8
2022-02-11,2,0,0,2
2022-02-12,2,0,1,1
2022-02-13,4,0,0,4
2022-02-14,7,0,0,7
2022-02-15,4,0,0,4
2022-02-16,1,0,0,1
2022-02-17,1,0,0,1
2022-02-18,2,0,0,2
2022-02-19,4,0,0,4
2022-02-20,0,0,0,0
2022-02-21,2,0,0,2
2022-02-22,0,0,0,0
2022-02-23,5,0,0,5
2022-02-24,2,0,0,2
2022-02-25,2,0,0,2
2022-02-26,2,0,0,2
2022-02-27,0,0,0,0
2022-02-28,1,0,0,1
2022-03-01,3,0,0,3
2022-03-02,1,0,0,1
2022-03-03,2,0,0,2
2022-03-04,1,0,0,1
2022-03-05,7,0,0,7
2022-03-06,0,0,0,0
2022-03-07,1,0,0,1
2022-03-08,0,0,0,0
2022-03-09,2,0,0,2
2022-03-10,1,0,0,1
2022-03-11,1,0,0,1
2022-03-12,1,0,0,1
2022-03-13,0,0,0,0
2022-03-14,1,0,0,1
2022-03-15,0,0,0,0
2022-03-16,0,0,0,0
2022-03-17,0,0,0,0
2022-03-18,1,0,0,1
2022-03-19,0,0,0,0
2022-03-20,0,0,0,0
2022-03-21,0,0,0,0
2022-03-22,0,0,0,0
2022-03-23,0,0,0,0
2022-03-24,0,0,0,0
2022-03-25,1,0,0,1
2022-03-26,0,0,0,0
2022-03-27,0,0,0,0
2022-03-28,0,0,0,0
2022-03-29,0,0,0,0
2022-03-30,3,0,0,3
2022-03-31,1,0,0,1
2022-04-01,0,0,0,0
2022-04-02,0,0,0,0
2022-04-03,0,0,0,0
2022-04-04,0,0,0,0
2022-04-05,0,0,0,0
2022-04-06,0,0,0,0
2022-04-07,0,0,0,0
2022-04-08,1,0,0,1
2022-04-09,0,0,0,0
2022-04-10,2,0,0,2
2022-04-11,1,0,0,1
2022-04-12,0,0,0,0
2022-04-13,1,0,0,1
2022-04-14,0,0,0,0
2022-04-15,0,0,0,0
2022-04-16,0,0,0,0
2022-04-17,0,0,0,0
2022-04-18,0,0,0,0
2022-04-19,0,0,0,0
2022-04-20,0,0,0,0
2022-04-21,0,0,0,0
2022-04-22,1,0,0,1
2022-04-23,0,0,0,0
2022-04-24,0,0,0,0
2022-04-25,0,0,0,0
2022-04-26,0,0,0,0
2022-04-27,0,0,0,0
2022-04-28,0,0,0,0
2022-04-29,0,0,0,0
2022-04-30,0,0,0,0
2022-05-01,0,0,0,0
2022-05-02,0,0,0,0
2022-05-03,0,0,0,0
2022-05-04,1,0,0,1
2022-05-05,0,0,0,0
2022-05-06,2,0,0,2
2022-05-07,0,0,0,0
2022-05-08,0,0,0,0
2022-05-09,1,0,0,1
2022-05-10,0,0,0,0
2022-05-11,0,0,0,0
2022-05-12,2,0,0,2
2022-05-13,5,0,0,5
2022-05-14,0,0,0,0
2022-05-15,0,0,0,0
2022-05-16,0,0,0,0
2022-05-17,6,0,0,6
2022-05-18,0,0,0,0
2022-05-19,0,0,0,0
2022-05-20,2,0,0,2
2022-05-21,1,0,0,1
2022-05-22,0,0,0,0
2022-05-23,1,0,0,1
2022-05-24,0,0,0,0
2022-05-25,1,0,0,1
2022-05-26,0,0,0,0
2022-05-27,1,0,0,1
2022-05-28,0,0,0,0
2022-05-29,0,0,0,0
2022-05-30,2,0,0,2
2022-05-31,0,0,0,0
2022-06-01,5,0,0,5
2022-06-02,1,0,0,1
2022-06-03,2,0,0,2
2022-06-04,0,0,0,0
2022-06-05,0,0,0,0
2022-06-06,1,0,0,1
2022-06-07,0,0,0,0
2022-06-08,0,0,0,0
2022-06-09,0,0,0,0
2022-06-10,1,0,0,1
2022-06-11,0,0,0,0
2022-06-12,2,0,0,2
2022-06-13,0,0,0,0
2022-06-14,2,0,0,2
2022-06-15,0,0,0,0
2022-06-16,2,0,0,2
2022-06-17,0,0,0,0
2022-06-18,2,0,0,2
2022-06-19,0,0,0,0
2022-06-20,0,0,0,0
2022-06-21,5,0,0,5
2022-06-22,2,0,0,2
2022-06-23,1,0,0,1
2022-06-24,3,0,0,3
2022-06-25,0,0,0,0
2022-06-26,0,0,0,0
2022-06-27,4,0,0,4
2022-06-28,4,0,0,4
2022-06-29,0,0,0,0
2022-06-30,3,0,0,3
2022-07-01,2,0,0,2
2022-07-02,0,0,0,0
2022-07-03,0,0,0,0
2022-07-04,4,0,0,4
2022-07-05,5,0,0,5
2022-07-06,1,0,0,1
2022-07-07,0,0,0,0
2022-07-08,0,0,0,0
2022-07-09,13,0,0,13
2022-07-10,0,0,0,0
2022-07-11,3,0,0,3
2022-07-12,0,0,0,0
2022-07-13,17,0,0,17
2022-07-14,8,0,0,8
2022-07-15,0,0,0,0
2022-07-16,12,0,0,12
2022-07-17,14,0,0,14
2022-07-18,4,0,0,4
2022-07-19,10,0,0,10
2022-07-20,6,0,0,6
2022-07-21,9,0,0,9
2022-07-22,9,0,0,9
2022-07-23,12,0,0,12
2022-07-24,0,0,0,0
2022-07-25,16,0,0,16
2022-07-26,22,0,0,22
2022-07-27,14,0,0,14
2022-07-28,15,0,0,15
2022-07-29,19,0,0,19
2022-07-30,18,0,0,18
2022-07-31,13,0,0,13
2022-08-01,9,0,0,9
