date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,1,0,0,1
2020-03-17,1,0,0,1
2020-03-18,1,0,0,1
2020-03-19,3,0,0,3
2020-03-20,3,0,0,3
2020-03-21,4,0,0,4
2020-03-22,4,0,0,4
2020-03-23,4,0,0,4
2020-03-24,5,1,0,4
2020-03-25,5,1,0,4
2020-03-26,9,1,0,8
2020-03-27,10,1,0,9
2020-03-28,10,1,0,9
2020-03-29,11,1,0,10
2020-03-30,14,1,0,13
2020-03-31,14,1,0,13
2020-04-01,21,1,1,19
2020-04-02,24,1,1,22
2020-04-03,24,1,1,22
2020-04-04,28,0,4,24
2020-04-05,28,0,4,24
2020-04-06,29,4,5,20
2020-04-07,33,5,6,22
2020-04-08,40,5,7,28
2020-04-09,41,5,8,28
2020-04-10,42,5,8,29
2020-04-11,46,5,8,33
2020-04-12,46,5,8,33
2020-04-13,47,6,8,33
2020-04-14,49,6,8,35
2020-04-15,49,6,8,35
2020-04-16,53,6,8,39
2020-04-17,54,6,9,39
2020-04-18,55,10,9,36
2020-04-19,55,10,9,36
2020-04-20,60,11,9,40
2020-04-21,65,12,9,44
2020-04-22,65,12,9,44
2020-04-23,72,14,11,47
2020-04-24,73,15,11,47
2020-04-25,78,15,11,52
2020-04-26,80,22,11,47
2020-04-27,80,22,11,47
2020-04-28,80,23,11,46
2020-04-29,80,23,11,46
